BatName,BowlName,0s,1s,2s,3s,4s,6s,Out,BowlclustNo,BatclustNo
A Ashish Reddy ,A Nehra,0.4,0.4,0,0,0,0,0.2,4,4
A Ashish Reddy ,AD Mathews,0.2,0,0.2,0,0.2,0.2,0.2,0,4
A Ashish Reddy ,Anureet Singh,0,0.6666666667,0,0,0,0,0.3333333333,3,4
A Ashish Reddy ,CH Morris,0,0.5,0,0,0,0,0.5,0,4
A Ashish Reddy ,DJ Bravo,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,4,4
A Ashish Reddy ,Harbhajan Singh,0.3333333333,0.3333333333,0.1111111111,0,0,0.1111111111,0.1111111111,4,4
A Ashish Reddy ,Imran Tahir,0,0.6666666667,0,0,0,0,0.3333333333,3,4
A Ashish Reddy ,JP Duminy,0,0.5,0,0,0,0,0.5,0,4
A Ashish Reddy ,KA Pollard,0.25,0.25,0.25,0,0,0,0.25,2,4
A Ashish Reddy ,MG Johnson,0,0.25,0.25,0,0.25,0,0.25,0,4
A Ashish Reddy ,NM Coulter-Nile,0.5,0,0,0,0,0,0.5,3,4
A Ashish Reddy ,PV Tambe,0.2,0.6,0,0,0,0,0.2,0,4
A Ashish Reddy ,SL Malinga,0.4,0.2,0.2,0,0,0,0.2,0,4
A Ashish Reddy ,Sandeep Sharma,0,0.25,0,0,0,0.5,0.25,4,4
A Ashish Reddy ,TG Southee,0.2,0.2,0.2,0,0,0.2,0.2,0,4
A Mishra ,A Nehra,0,0.3333333333,0.3333333333,0,0,0,0.3333333333,4,4
A Mishra ,D Wiese,0,0.5,0,0,0,0,0.5,3,4
A Mishra ,DS Kulkarni,0.5,0,0,0,0,0,0.5,2,4
A Mishra ,MA Starc,0.5,0.25,0,0,0,0,0.25,3,4
A Mishra ,R Ashwin,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,4,4
A Mishra ,TG Southee,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,4
A Mishra ,UT Yadav,0,0.5,0,0,0,0,0.5,4,4
A Nehra ,AD Russell,0.5,0.25,0,0,0,0,0.25,0,0
A Nehra ,GB Hogg,0.5,0,0,0,0,0,0.5,3,0
A Nehra ,MA Starc,0.5,0,0,0,0,0,0.5,3,0
A Nehra ,MA Starc,0.5,0,0,0,0,0,0.5,3,0
A Nehra ,SL Malinga,0.5,0,0,0,0,0,0.5,4,0
AB de Villiers ,A Ashish Reddy,0.1666666667,0.1666666667,0.3333333333,0,0,0.1666666667,0.1666666667,3,1
AB de Villiers ,A Nehra,0.4,0.2,0,0,0.2,0,0.2,4,1
AB de Villiers ,A Nehra,0.5,0.25,0,0,0,0,0.25,4,1
AB de Villiers ,AD Russell,0.4,0.2,0,0,0.2,0,0.2,0,1
AB de Villiers ,AR Patel,0.3333333333,0,0,0,0.3333333333,0.1666666667,0.1666666667,3,1
AB de Villiers ,AR Patel,0.6666666667,0,0,0,0,0,0.3333333333,3,1
AB de Villiers ,Ankit Sharma,0.2727272727,0.3636363636,0,0,0.0909090909,0.1818181818,0.0909090909,0,1
AB de Villiers ,Anureet Singh,0.2857142857,0.4285714286,0,0,0.1428571429,0,0.1428571429,0,1
AB de Villiers ,B Kumar,0,0.5,0,0,0.25,0,0.25,2,1
AB de Villiers ,CH Morris,0,0,0.25,0,0,0.5,0.25,0,1
AB de Villiers ,CH Morris,0,0.6666666667,0,0,0,0,0.3333333333,0,1
AB de Villiers ,DJ Hooda,0,0,0,0,0.5,0,0.5,1,1
AB de Villiers ,DS Kulkarni,0.5384615385,0.0769230769,0.0769230769,0,0.2307692308,0,0.0769230769,2,1
AB de Villiers ,DS Kulkarni,0,0.6666666667,0,0,0,0,0.3333333333,2,1
AB de Villiers ,DS Kulkarni,0.1428571429,0.5714285714,0.1428571429,0,0,0,0.1428571429,2,1
AB de Villiers ,GB Hogg,0,0.5,0,0,0,0,0.5,3,1
AB de Villiers ,HH Pandya,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,4,1
AB de Villiers ,HH Pandya,0,0.3,0,0,0.5,0.1,0.1,3,1
AB de Villiers ,Harbhajan Singh,0,0.4285714286,0.1428571429,0,0.1428571429,0.1428571429,0.1428571429,3,1
AB de Villiers ,IC Pandey,0.5454545455,0,0,0,0.3636363636,0,0.0909090909,3,1
AB de Villiers ,IC Pandey,0.625,0.125,0,0,0,0.125,0.125,3,1
AB de Villiers ,J Suchith,0.1666666667,0.25,0.0833333333,0,0.4166666667,0,0.0833333333,3,1
AB de Villiers ,JJ Bumrah,0.1428571429,0.3571428571,0.2142857143,0,0.0714285714,0.1428571429,0.0714285714,0,1
AB de Villiers ,JJ Bumrah,0.5,0,0,0,0,0,0.5,0,1
AB de Villiers ,JP Faulkner,0,0.5714285714,0.2857142857,0,0,0,0.1428571429,2,1
AB de Villiers ,JP Faulkner,0.1428571429,0.2857142857,0.1428571429,0,0.2857142857,0,0.1428571429,2,1
AB de Villiers ,JP Faulkner,0.1666666667,0.1666666667,0,0,0.5,0,0.1666666667,2,1
AB de Villiers ,KC Cariappa,0.1666666667,0.1666666667,0,0,0.3333333333,0.1666666667,0.1666666667,3,1
AB de Villiers ,KV Sharma,0.4,0.5,0,0,0,0,0.1,1,1
AB de Villiers ,Karanveer Singh,0.125,0.375,0,0,0,0.375,0.125,0,1
